    0.635565459728240967E+00    0.415687441825866699E+00    0.917656004428863525E+00    0.666210174560546875E+00    0.160619676113128662E+00    0.781494319438934326E+00    0.348198413848876953E-02    0.924908518791198730E-01    0.936130523681640625E+00    0.343623757362365723E-01   -0.181547906446611549E+02   -0.423843203174804876E+04    0.395252516672997235-322
    0.523533821105957031E+00    0.146209001541137695E-01    0.124409198760986328E+00    0.366456329822540283E+00    0.160875320434570312E-01    0.986331880092620850E+00    0.700184881687164307E+00    0.750645637512207031E+00    0.856429219245910645E+00    0.141780078411102295E+00    0.584142419401071510-301    0.732088632238008683-310    0.395252516672997235-322
    0.282269418239593506E+00    0.864736557006835938E+00    0.415602624416351318E+00    0.307107329368591309E+00    0.704525351524353027E+00    0.905234277248382568E+00    0.134468197822570801E+00    0.344737172126770020E+00    0.806247591972351074E+00    0.152560949325561523E+00    0.138265634609855367-315    0.107160830349143177-295    0.395252516672997235-322
    0.237768828868865967E+00    0.235779583454132080E+00    0.308917820453643799E+00    0.243454992771148682E+00    0.907907009124755859E+00    0.349932909011840820E-02    0.173275589942932129E+00    0.778674185276031494E+00    0.343515336513519287E+00    0.120588600635528564E+00   -0.162859244449916289E+02   -0.747057103489896974E+02    0.395252516672997235-322
    0.464085221290588379E+00    0.580692529678344727E+00    0.295454323291778564E+00    0.704751610755920410E-01    0.271782577037811279E+00    0.517380595207214355E+00    0.149984598159790039E+00    0.284927487373352051E-01    0.428374826908111572E+00    0.632131338119506836E+00   -0.169163071873784325E+02   -0.947184837085613544E+05    0.395252516672997235-322
    0.160771191120147705E+00    0.755159854888916016E-01    0.611835479736328125E+00    0.289433360099792480E+00    0.210954666137695312E+00    0.302213609218597412E+00    0.920452892780303955E+00    0.183034360408782959E+00    0.440974593162536621E+00    0.196687936782836914E+00    0.402761005052830447-310    0.000000000000000000E+00    0.395252516672997235-322
    0.433728337287902832E+00    0.337198972702026367E-01    0.213489234447479248E+00    0.612295567989349365E+00    0.160634279251098633E+00    0.144235968589782715E+00    0.928907811641693115E+00    0.990939736366271973E+00    0.971272408962249756E+00    0.265742182731628418E+00   -0.178223686650525224E+02   -0.266724163118866500E+03    0.395252516672997235-322
    0.721426665782928467E+00    0.816034257411956787E+00    0.853062272071838379E+00    0.618678212165832520E+00    0.475590229034423828E-01    0.796966552734375000E-01    0.208234548568725586E+00    0.513043344020843506E+00    0.822840213775634766E+00    0.803246736526489258E+00    0.000000000000000000E+00    0.362861280255061566-311    0.395252516672997235-322
    0.217506110668182373E+00    0.307698667049407959E+00    0.491577923297882080E+00    0.674603819847106934E+00    0.929292798042297363E+00    0.495531320571899414E+00    0.192489981651306152E+00    0.616901993751525879E+00    0.556000411510467529E+00    0.956797242164611816E+00   -0.158918767254663020E+02   -0.464085641270213364E+04    0.395252516672997235-322
    0.302887618541717529E+00    0.862508237361907959E+00    0.218602955341339111E+00    0.485500454902648926E+00    0.501450896263122559E+00    0.405827164649963379E+00    0.779279649257659912E+00    0.853674292564392090E+00    0.106427490711212158E+00    0.279957652091979980E+00    0.000000000000000000E+00    0.000000000000000000E+00    0.395252516672997235-322
